cell_type,PD1,CD8,PDL1,FOXP3,KI67,CD45,PanCK,Isotype,CD20,CD4,CD11c,HLA-DR,CD68,CD31,ATPase,CD3,aSMA
B_cell,40.72855664412381,73.48668793244293,90.10655882314025,79.99201524814193,42.575458273986115,417.841677733699,191.01146472790035,38.69714227639778,124.4873759709775,136.97627055071365,62.84495535018131,54.85291824126267,190.47857025204067,203.00526233951095,329.5458458799007,75.88384316032906,161.35704267285982
CD4_T,34.3788792978167,30.065013179493576,71.24942350356076,50.999398174681545,34.392404288194065,474.6138124730683,53.47618943846428,27.337198915563672,74.63791197881528,254.79389294872405,46.41077766164059,41.812645831177996,119.18699612429847,110.18163292068735,160.45089835837095,207.94228158610048,213.82145469731566
CD8_T,37.858856345840174,276.1081489025238,54.60561599290024,46.86670487497955,35.73819779513846,472.0985538518088,103.13227570465213,27.50621478606829,75.24593827287339,78.07515847251237,37.947523457871924,35.5169389393242,75.81969281271313,132.57647009719642,207.1891330129881,181.9786552411936,190.67967620923469
DC,33.88844009493694,60.28832623793464,80.50825304141262,61.31372227966918,38.39262447366523,352.96776485511083,102.25580814951172,29.461350902616417,55.56281059173693,139.87732034299577,87.07762971183669,61.59176472425577,75.26752965543575,197.11281592337696,247.4165929168159,62.04115996566686,132.65119078278732
Endothelial,30.907722563521293,29.527856602075957,64.47059386260945,62.613184080728686,26.343547327273438,121.78914275747626,75.89197298499288,28.032608601740115,56.86615747254316,79.3553836311303,61.944072742383476,28.069456251904114,78.04584702423999,524.5314177569196,178.35012018970517,60.077229821019785,288.5660965934205
Epithelial,43.23008729536806,30.244933078940566,73.42604706489416,78.40682914774862,53.52783603452832,70.50971171524837,710.8007699039956,53.76121773670037,64.79557711030606,74.44949776236203,29.351380546493314,44.50528787996127,108.03461095143516,55.88326324109464,584.312178353813,26.010782786733976,41.706293856166695
Immune_other,48.12338778350174,160.67463702916285,95.46150485167672,86.88914131150848,39.792585994242316,489.67833964216163,93.689517247803,36.92313228753928,80.78662517397294,200.095197815132,54.89943750891135,48.24261402378369,122.56639598068845,163.38408035719502,211.25863842088128,185.56081880970393,191.48951530530374
Macrophage,31.910561804009554,64.82356771346382,80.10198272610373,59.155024815357336,34.34089063246064,348.7620282336663,106.93837992522224,29.070216761679955,55.80723811274561,157.23804345779402,61.54810915688857,54.86692237141763,314.42126201426487,171.34680698157203,242.29847086678063,63.28648797551039,150.81979018651808
Other,32.12506688374524,29.49472782560219,64.44053106833427,55.855996301535434,41.17330340359173,96.39363300037898,143.571282913336,28.948713677244797,52.81121357798006,71.94720753368816,26.393208136901247,29.174205633212466,74.42076202250949,43.154502499805645,239.54945272626014,45.61176265818536,64.31809240930048
Stromal,26.32473665162215,24.43408118557039,53.28722570184805,49.37393869730448,17.92388733706184,81.7663387096453,54.90754649987202,24.338772255289225,57.48111522082768,67.3464959302674,21.913749384149423,22.02312848714944,49.840747520774755,36.54687504012254,64.25857901531678,141.80103965820282,1055.2378461878066
T_cell,37.35304868875956,35.2612774679032,66.29262328529421,61.45344704457324,38.75272730991367,429.235417996188,58.91232095746259,28.904942436234776,119.21955937468903,97.9495275991981,41.012302713465274,38.094089987732936,78.20916912889284,123.2135853989681,140.0484141027501,166.4419339895109,252.10680304545505
Treg,48.84288438001069,32.299547727640174,119.29561797488093,144.00806755001057,44.75172342261487,468.0708856980876,84.99468487620251,40.141569908877074,76.74537993922081,243.0614268995035,59.75105911116615,49.906842546598924,147.11795386505952,165.29015100965944,191.38895096898344,207.63896385077334,262.1784487783835
