,B_cell,CD4_T,CD8_T,DC,Endothelial,Epithelial,Immune_other,Macrophage,Other,Stromal,T_cell,Treg
B_cell,24.125778921534874,3.372631885043769,4.367776144820565,1.2368284057487113,-0.47966697335913255,-5.323132543633265,6.531343762915757,3.0872511863292593,-6.400763664265773,-4.077625057417376,1.8692133726381173,2.2008516902850985
CD4_T,3.372631885043769,21.447724058232517,0.6346543864602522,0.5871032180207243,-0.44599434610799893,-6.259216127120655,9.64078147649277,2.191148490153661,-3.2911146234289452,-1.5358551390588338,3.805326200684995,5.491444370328962
CD8_T,4.367776144820565,0.6346543864602522,20.65130657950406,0.6759343924256516,-1.1087655945149446,-6.275831659880506,14.609217137566004,1.7807445941419564,-4.327192257265438,-2.758372593411228,2.5612772738773595,-0.6035863392968976
DC,1.2368284057487113,0.5871032180207243,0.6759343924256516,2.891374620012249,0.24596691708452953,-0.7581821551564702,1.6349280697764192,1.0247415801518254,-0.780828616585221,-0.956354087751037,-0.026189189798466454,0.38489715969651184
Endothelial,-0.47966697335913255,-0.44599434610799893,-1.1087655945149446,0.24596691708452953,28.50303420637306,-14.961576452236663,-1.0351342841462658,0.7041822099122584,-11.166414505263987,-6.165560843454822,-0.37317524687155895,0.8210627569239711
Epithelial,-5.323132543633265,-6.259216127120655,-6.275831659880506,-0.7581821551564702,-14.961576452236663,44.24649181414548,-10.77740985779266,-5.272076959179162,-13.574445252639178,-16.992340700953033,-1.7739464914507428,-2.7925762462814285
Immune_other,6.531343762915757,9.64078147649277,14.609217137566004,1.6349280697764192,-1.0351342841462658,-10.77740985779266,36.4598732881932,5.868937580670577,-9.074916010817926,-6.505553323441977,1.3419262175909612,3.828182883694336
Macrophage,3.0872511863292593,2.191148490153661,1.7807445941419564,1.0247415801518254,0.7041822099122584,-5.272076959179162,5.868937580670577,12.898137268662255,-3.2498040004044513,-4.124610655572189,0.04534512256552976,1.304334221905398
Other,-6.400763664265773,-3.2911146234289452,-4.327192257265438,-0.780828616585221,-11.166414505263987,-13.574445252639178,-9.074916010817926,-3.2498040004044513,24.148597105236476,-18.982818736203058,-1.0011617579281429,-2.0962829530705545
Stromal,-4.077625057417376,-1.5358551390588338,-2.758372593411228,-0.956354087751037,-6.165560843454822,-16.992340700953033,-6.505553323441977,-4.124610655572189,-18.982818736203058,31.099450950096845,-0.29559707910526134,-0.4350142060951754
T_cell,1.8692133726381173,3.805326200684995,2.5612772738773595,-0.026189189798466454,-0.37317524687155895,-1.7739464914507428,1.3419262175909612,0.04534512256552976,-1.0011617579281429,-0.29559707910526134,8.844576090293609,0.7462479260031468
Treg,2.2008516902850985,5.491444370328962,-0.6035863392968976,0.38489715969651184,0.8210627569239711,-2.7925762462814285,3.828182883694336,1.304334221905398,-2.0962829530705545,-0.4350142060951754,0.7462479260031468,9.166572940710221
